"filename", "language", "JavaScript", "JSON with Comments", "JSON", "Markdown", "HTML", "vue", "TypeScript", "SCSS", "Properties", "comment", "blank", "total"
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\models\Favorite.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\models\Recipe.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 31
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\models\Review.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\models\Value.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\services\AccountService.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 0, 0, 29, 6, 82
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\services\FavoritesService.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 37
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\services\ProfileService.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 34
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\services\RecipesService.js", "JavaScript", 56, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 64
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\services\ReviewService.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 29
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\services\ValuesService.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\utils\AccountValidator.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\utils\BaseController.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\utils\Errors.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 31
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\utils\Logger.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 51
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\utils\SocketHandler.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 0, 0, 27, 7, 75
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\www\index.html", "HTML", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 2, 32
"c:\Users\markk\Documents\Dev\ReciPantry\launchsettings.conf", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 2, 7
"c:\Users\markk\Documents\Dev\ReciPantry\package-lock.json", "JSON", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\markk\Documents\Dev\ReciPantry\package.json", "JSON", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"Total", "-", 1528, 86, 29018, 128, 60, 477, 4, 419, 5, 250, 399, 32374
